Index: Init, Total -- indiv
5: 3060.0, 2881.9480000000003 -- [ 2541.15    340.798]
82: 3060.0, 3025.705 -- [ 2818.11    207.595]
208: 3060.0, 2887.9646000000002 -- [   37.2946  2850.67  ]
287: 3060.0, 1883.254 -- [ 1778.35    104.904]
319: 3060.0, 3059.997 -- [  901.627  2158.37 ]
496: 3060.0, 3060.005 -- [  301.205  2758.8  ]
501: 3060.0, 3060.001 -- [ 2914.44    145.561]
509: 3060.0, 112.5535 -- [ 87.5611  24.9924]
633: 3060.0, 2021.7806 -- [ 1944.48      77.3006]
636: 3060.0, 2594.224 -- [ 1941.14    653.084]
863: 3060.0, 2771.089 -- [  454.139  2316.95 ]
954: 3060.0, 3060.003 -- [ 2921.98    138.023]
1341: 3060.0, 3059.996 -- [  135.556  2924.44 ]
1347: 3060.0, 2203.8909999999996 -- [  104.191  2099.7  ]
1360: 3060.0, 1925.108 -- [ 1196.51    728.598]
1405: 3060.0, 3060.003 -- [ 2925.5     134.503]
1479: 3060.0, 2894.7122 -- [ 2846.83      47.8822]
1509: 3060.0, 897.926 -- [ 787.216  110.71 ]
1554: 3060.0, 2275.206 -- [  135.806  2139.4  ]
1592: 3060.0, 3059.995 -- [ 2924.94    135.055]
1674: 3060.0, 3059.998 -- [ 2737.83    322.168]
2040: 3060.0, 2121.955 -- [ 1848.37    273.585]
2057: 3060.0, 1065.1 -- [ 412.776  652.324]
2067: 3060.0, 2715.5159999999996 -- [ 2615.7      99.816]
2127: 3060.0, 2559.9917 -- [   69.9817  2490.01  ]
2184: 3060.0, 839.4359999999999 -- [ 296.508  542.928]
2434: 3060.0, 3060.002 -- [  163.922  2896.08 ]
2497: 3060.0, 2879.927009 -- [  1.47009000e-01   2.87978000e+03]
2617: 3060.0, 2729.7380000000003 -- [  128.208  2601.53 ]
2720: 3060.0, 1162.3310000000001 -- [ 660.648  501.683]
2872: 3060.0, 1322.053 -- [ 1103.17    218.883]
3113: 3060.0, 3059.9990000000003 -- [ 2907.11    152.889]
3129: 3060.0, 2654.299 -- [  164.209  2490.09 ]
3266: 3060.0, 556.9583 -- [ 366.309   178.79     11.8593]
3270: 3060.0, 2209.426 -- [  248.796  1960.63 ]
3404: 3060.0, 2800.078 -- [ 2475.75    324.328]
